Datum;Liga;Typ;Runde;Heim;Gast;Spielort_Name;Straße;PLZ;Ort;Latitude;Longitude;Quelle
2025-08-01 18:00:00;Regionalliga Ost;Männer;1. Runde;SR Donaufeld;SV Donau;Donaufeld;Nordmanngasse 24;1210;Wien;48.250543;16.418322;https://www.oefb.at/bewerbe/Spiel/3920300/?SR-Donaufeld-vs-SV-Donau
2025-08-02 20:00:00;ADMIRAL 2. Liga;Männer;1. Runde;Young Violets Austria Wien;SKN St. Pölten;GENERALI-Arena;Horrplatz 1;1100;Wien;48.1611885;16.3883313;https://www.oefb.at/bewerbe/Spiel/3886147/?Young-Violets-Austria-Wien-vs-SKN-St-Poelten
2025-08-03 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Männer;1. Runde;SK Rapid;FC Blau Weiss Linz;Allianz Stadion;Gerhard Hanappi Platz 1;1140;Wien;48.197339;16.265628;https://www.oefb.at/bewerbe/Spiel/3865866/?SK-Rapid-vs-FC-Blau-Weiss-Linz
2025-08-08 18:00:00;ADMIRAL 2. Liga;Männer;2. Runde;FAC Wien;KSV 1919;FAC-Platz;Hopfengasse 8;1210;Wien;48.269916;16.3925;https://www.oefb.at/bewerbe/Spiel/3886064/?FAC-Wien-vs-KSV-1919
2025-08-08 19:30:00;Regionalliga Ost;Männer;2. Runde;TWL Elektra;FC Marchfeld Donauauen;Rax-Platz;Raxstr. 3;1100;Wien;48.165093;16.365973;https://www.oefb.at/bewerbe/Spiel/3920285/?TWL-Elektra-vs-FC-Marchfeld-Donauauen
2025-08-08 19:30:00;Regionalliga Ost;Männer;2. Runde;Wiener Sport-Club;Sportunion Mauer;Trainingszentrum Wr. Sportklub;Erdbrustgasse 4-18;1160;Wien;48.215234;16.303975;https://www.oefb.at/bewerbe/Spiel/3920382/?Wiener-Sport-Club-vs-Sportunion-Mauer
2025-08-08 20:30:00;ADMIRAL 2. Liga;Männer;2. Runde;First Vienna FC 1894;SV Austria Salzburg;Naturarena Hohe Warte;Klabundgasse;1190;Wien;48.247428;16.359464;https://www.oefb.at/bewerbe/Spiel/3886102/?First-Vienna-FC-1894-vs-SV-Austria-Salzburg
2025-08-09 14:30:00;ADMIRAL 2. Liga;Männer;2. Runde;SK Rapid II;FC Liefering;Allianz Stadion;Gerhard Hanappi Platz 1;1140;Wien;48.197339;16.265628;https://www.oefb.at/bewerbe/Spiel/3885982/?SK-Rapid-II-vs-FC-Liefering
2025-08-09 17:00:00;Regionalliga Ost;Männer;2. Runde;SR Donaufeld;SV Klöcher Bau Oberwart;Donaufeld;Nordmanngasse 24;1210;Wien;48.250543;16.418322;https://www.oefb.at/bewerbe/Spiel/3920523/?SR-Donaufeld-vs-SV-Kloecher-Bau-Oberwart
2025-08-09 19:00:00;Regionalliga Ost;Männer;2. Runde;Wiener Viktoria;SV druckmittel.at Gloggnitz;Wr. Viktoria;Oswaldg. 34;1120;Wien;48.167696;16.324931;https://www.oefb.at/bewerbe/Spiel/3920423/?Wiener-Viktoria-vs-SV-druckmittel-at-Gloggnitz
2025-08-10 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Männer;2. Runde;FK Austria Wien;RZ Pellets WAC;GENERALI-Arena;Horrplatz 1;1100;Wien;48.1611885;16.3883313;https://www.oefb.at/bewerbe/Spiel/3865881/?FK-Austria-Wien-vs-RZ-Pellets-WAC
2025-08-14 18:00:00;2. Landesliga;Männer;1. Runde;Post SV;SC Mannswörth;Post Sportanlage;Roggendorfg. 2;1170;Wien;48.223531;16.32412;https://www.oefb.at/bewerbe/Spiel/3912870/?Post-SV-vs-SC-Mannswoerth
2025-08-14 18:30:00;Wiener Stadtliga;Männer;1. Runde;First Vienna FC 1894 Amat.;SK Slovan HAC;First Vienna Football Campus;Spielmanng. 8;1200;Wien;48.242739;16.370454;https://www.oefb.at/bewerbe/Spiel/3873681/?First-Vienna-FC-1894-Amat-vs-SK-Slovan-HAC
2025-08-15 16:00:00;2. Landesliga;Männer;1. Runde;SV Essling;Cro-Vienna;Essling;Kirschenallee 2-4;1220;Wien;48.214036;16.519334;https://www.oefb.at/bewerbe/Spiel/3912832/?SV-Essling-vs-Cro-Vienna
2025-08-15 17:00:00;2. Landesliga;Männer;1. Runde;NAC;Gersthofer SV;NAC;Grinzinger Straße 111;1190;Wien;48.254256;16.360667;https://www.oefb.at/bewerbe/Spiel/3913059/?NAC-vs-Gersthofer-SV
2025-08-15 17:30:00;2. Landesliga;Männer;1. Runde;A11 - R.Oberlaa;Maccabi Wien;Rapid Oberlaa;Franzosenweg 34;1100;Wien;48.139637;16.38679;https://www.oefb.at/bewerbe/Spiel/3913194/?A11-R-Oberlaa-vs-Maccabi-Wien
2025-08-15 18:00:00;Wiener Stadtliga;Männer;1. Runde;SV Wienerberg 1921;FC Stadlau;Wienerberg Arena;Computerstr. 3;1100;Wien;48.157919;16.3396;https://www.oefb.at/bewerbe/Spiel/3873645/?SV-Wienerberg-1921-vs-FC-Stadlau
2025-08-15 18:00:00;Wiener Stadtliga;Männer;1. Runde;Red Star Penzing;Hellas Kagran;Red Star Auto;Kendlerstrasse 38;1160;Wien;48.20384;16.309532;https://www.oefb.at/bewerbe/Spiel/3873731/?Red-Star-Penzing-vs-Hellas-Kagran
2025-08-15 18:00:00;2. Landesliga;Männer;1. Runde;Ankerbrot;SC Ostbahn XI;Franz Hölbl Anlage / Anker Arena;Heuberggstättenstr. 1;1100;Wien;48.159325;16.367574;https://www.oefb.at/bewerbe/Spiel/3912949/?Ankerbrot-vs-SC-Ostbahn-XI
2025-08-15 18:15:00;2. Landesliga;Männer;1. Runde;Columbia Floridsdorf;Kapellerfeld;Columbia;Überfuhrstraße 2b;1210;Wien;48.269294;16.38053;https://www.oefb.at/bewerbe/Spiel/3912998/?Columbia-Floridsdorf-vs-Kapellerfeld
2025-08-15 19:10:00;Regionalliga Ost;Männer;3. Runde;FavAC;Wiener Sport-Club;FavAC;Kennerg. 3;1100;Wien;48.170987;16.382252;https://www.oefb.at/bewerbe/Spiel/3920433/?FavAC-vs-Wiener-Sport-Club
2025-08-15 19:30:00;Regionalliga Ost;Männer;3. Runde;SV Donau;TWL Elektra;WFV-22 Hirschstetten;Oberfeldgasse 41;1220;Wien;48.241394;16.473635;https://www.oefb.at/bewerbe/Spiel/3920489/?SV-Donau-vs-TWL-Elektra
2025-08-16 16:00:00;Wiener Stadtliga;Männer;1. Runde;LAC-Inter;Austria XIII Auhof Center;LAC;Baumg. 87;1030;Wien;48.19099;16.408953;https://www.oefb.at/bewerbe/Spiel/3873582/?LAC-Inter-vs-Austria-XIII-Auhof-Center
2025-08-16 17:00:00;Wiener Stadtliga;Männer;1. Runde;SV Dinamo Helfort;1.Simmeringer SC;Helfort;Kendlerstr. 42;1160;Wien;48.205946;16.310258;https://www.oefb.at/bewerbe/Spiel/3873444/?SV-Dinamo-Helfort-vs-1-Simmeringer-SC
2025-08-16 17:00:00;2. Landesliga;Männer;1. Runde;ASV 13;DSV Fortuna 05;ASVÖ 13;Linienamtsg. 7;1130;Wien;48.163089;16.276184;https://www.oefb.at/bewerbe/Spiel/3913174/?ASV-13-vs-DSV-Fortuna-05
2025-08-16 20:00:00;ADMIRAL 2. Liga;Männer;3. Runde;Young Violets Austria Wien;Admira Wacker;GENERALI-Arena;Horrplatz 1;1100;Wien;48.1611885;16.3883313;https://www.oefb.at/bewerbe/Spiel/3885977/?Young-Violets-Austria-Wien-vs-Admira-Wacker
2025-08-17 15:00:00;2. Landesliga;Männer;1. Runde;TWL Elektra 1b;Sportunion Schönbrunn;Rax-Platz;Raxstr. 3;1100;Wien;48.165093;16.365973;https://www.oefb.at/bewerbe/Spiel/3912837/?TWL-Elektra-1b-vs-Sportunion-Schoenbrunn
2025-08-17 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Männer;3. Runde;SK Rapid;SCR Altach;Allianz Stadion;Gerhard Hanappi Platz 1;1140;Wien;48.197339;16.265628;https://www.oefb.at/bewerbe/Spiel/3865831/?SK-Rapid-vs-SCR-Altach
2025-08-17 17:00:00;Wiener Stadtliga;Männer;1. Runde;FAC Wien Amat.;1980 Wien;FAC-Platz;Hopfengasse 8;1210;Wien;48.269916;16.3925;https://www.oefb.at/bewerbe/Spiel/3873548/?FAC-Wien-Amat-vs-1980-Wien
2025-08-22 18:00:00;ADMIRAL 2. Liga;Männer;4. Runde;First Vienna FC 1894;FC Liefering;Naturarena Hohe Warte;Klabundgasse;1190;Wien;48.247428;16.359464;https://www.oefb.at/bewerbe/Spiel/3885955/?First-Vienna-FC-1894-vs-FC-Liefering
2025-08-22 18:00:00;2. Landesliga;Männer;2. Runde;SC Ostbahn XI;Columbia Floridsdorf;Ostbahn 11;Hasenleitengasse 49;1110;Wien;48.164581;16.419164;https://www.oefb.at/bewerbe/Spiel/3912960/?SC-Ostbahn-XI-vs-Columbia-Floridsdorf
2025-08-22 18:00:00;2. Landesliga;Männer;2. Runde;A11 - R.Oberlaa;SV Essling;Rapid Oberlaa;Franzosenweg 34;1100;Wien;48.139637;16.38679;https://www.oefb.at/bewerbe/Spiel/3912839/?A11-R-Oberlaa-vs-SV-Essling
2025-08-22 18:00:00;Wiener Stadtliga;Männer;2. Runde;FC Stadlau;FAC Wien Amat.;Stadlau;Erzherzog Karl Str. 108;1220;Wien;48.230244;16.450798;https://www.oefb.at/bewerbe/Spiel/3873464/?FC-Stadlau-vs-FAC-Wien-Amat-
2025-08-22 19:30:00;Regionalliga Ost;Männer;4. Runde;TWL Elektra;SV Klöcher Bau Oberwart;Rax-Platz;Raxstr. 3;1100;Wien;48.165093;16.365973;https://www.oefb.at/bewerbe/Spiel/3920465/?TWL-Elektra-vs-SV-Kloecher-Bau-Oberwart
2025-08-22 20:00:00;2. Landesliga;Männer;2. Runde;Cro-Vienna;NAC;Gem.Wien 10, Eibesbrunnerg.;Eibesbrunnergasse 13;1100;Wien;48.16619991249413;16.336755752563477;https://www.oefb.at/bewerbe/Spiel/3913296/?Cro-Vienna-vs-NAC
2025-08-23 16:00:00;Wiener Stadtliga;Männer;2. Runde;Hellas Kagran;First Vienna FC 1894 Amat.;Hellas Kagran Sport-Arena;Natorpgasse 2;1220;Wien;48.241765;16.444089;https://www.oefb.at/bewerbe/Spiel/3873520/?Hellas-Kagran-vs-First-Vienna-FC-1894-Amat-
2025-08-23 16:00:00;Wiener Stadtliga;Männer;2. Runde;1980 Wien;WAF pinova Telekom;Franz Koci Anlage;Franz Koci-Straße 1;1100;Wien;48.144813;16.395031;https://www.oefb.at/bewerbe/Spiel/3873397/?1980-Wien-vs-WAF-pinova-Telekom
2025-08-23 16:00:00;Wiener Stadtliga;Männer;2. Runde;LAC-Inter;SV Dinamo Helfort;LAC;Baumg. 87;1030;Wien;48.19099;16.408953;https://www.oefb.at/bewerbe/Spiel/3873554/?LAC-Inter-vs-SV-Dinamo-Helfort
2025-08-23 16:00:00;Wiener Stadtliga;Männer;2. Runde;Austria XIII Auhof Center;SK Slovan HAC;Kinkplatz - Austria 13;Kinkplatz;1140;Wien;48.199991;16.276404;https://www.oefb.at/bewerbe/Spiel/3873457/?Austria-XIII-Auhof-Center-vs-SK-Slovan-HAC
2025-08-23 16:30:00;Regionalliga Ost;Männer;4. Runde;SR Donaufeld;SV Leobendorf;Donaufeld;Nordmanngasse 24;1210;Wien;48.250543;16.418322;https://www.oefb.at/bewerbe/Spiel/3920366/?SR-Donaufeld-vs-SV-Leobendorf
2025-08-23 18:00:00;2. Landesliga;Männer;2. Runde;Sportunion Schönbrunn;Post SV;Sportunion Schönbrunn;Hervicusg. 13-15;1120;Wien;48.166628;16.304792;https://www.oefb.at/bewerbe/Spiel/3913272/?Sportunion-Schoenbrunn-vs-Post-SV
2025-08-23 19:00:00;Regionalliga Ost;Männer;4. Runde;Wiener Viktoria;Sportunion Mauer;Wr. Viktoria;Oswaldg. 34;1120;Wien;48.167696;16.324931;https://www.oefb.at/bewerbe/Spiel/3920435/?Wiener-Viktoria-vs-Sportunion-Mauer
2025-08-23 20:00:00;ADMIRAL 2. Liga;Männer;4. Runde;FAC Wien;SV Austria Salzburg;FAC-Platz;Hopfengasse 8;1210;Wien;48.269916;16.3925;https://www.oefb.at/bewerbe/Spiel/3885952/?FAC-Wien-vs-SV-Austria-Salzburg
2025-08-24 10:15:00;2. Landesliga;Männer;2. Runde;Gersthofer SV;Ankerbrot;Gersthof Post III;Schumanng. 105;1170;Wien;48.225324870552456;16.328420452719126;https://www.oefb.at/bewerbe/Spiel/3913223/?Gersthofer-SV-vs-Ankerbrot
2025-08-24 10:30:00;ADMIRAL 2. Liga;Männer;4. Runde;SK Rapid II;Young Violets Austria Wien;Allianz Stadion;Gerhard Hanappi Platz 1;1140;Wien;48.197339;16.265628;https://www.oefb.at/bewerbe/Spiel/3886011/?SK-Rapid-II-vs-Young-Violets-Austria-Wien
2025-08-24 10:30:00;2. Landesliga;Männer;2. Runde;Maccabi Wien;DSV Fortuna 05;Körner Trainingszentrum powered by Varta;Josef Fritsch Weg 2-4;1020;Wien;48.207304;16.428909;https://www.oefb.at/bewerbe/Spiel/3913032/?Maccabi-Wien-vs-DSV-Fortuna-05
2025-08-24 17:00:00;ADMIRAL Bundesliga - Grunddurchgang;Männer;4. Runde;FK Austria Wien;TSV Egger Glas Hartberg;GENERALI-Arena;Horrplatz 1;1100;Wien;48.1611885;16.3883313;https://www.oefb.at/bewerbe/Spiel/3865865/?FK-Austria-Wien-vs-TSV-Egger-Glas-Hartberg
2025-08-27 20:00:00;DSG-Cup;Männer;1. Runde;DSG Meetup United;DSG Finanzprofis Wr. Neustadt;Nord Wien Platz;Jedlersdorfer Platz 25;1210;Wien;48.28306;16.409595;https://www.oefb.at/bewerbe/Spiel/3857838/?DSG-Meetup-United-vs-DSG-Finanzprofis-Wr-Neustadt
2025-08-29 18:00:00;Wiener Stadtliga;Männer;3. Runde;Red Star Penzing;1980 Wien;Red Star Auto;Kendlerstrasse 38;1160;Wien;48.20384;16.309532;https://www.oefb.at/bewerbe/Spiel/3873755/?Red-Star-Penzing-vs-1980-Wien
2025-08-29 18:00:00;Oberliga A;Männer;1. Runde;Gradisce;Ober St.Veit;Gem.Wien 10, Eibesbrunnerg.;Eibesbrunnergasse 13;1100;Wien;48.16619991249413;16.336755752563477;https://www.oefb.at/bewerbe/Spiel/3882093/?Gradisce-vs-Ober-St-Veit
2025-08-29 18:00:00;1. Klasse B Reserve;Männer;1. Runde;WBC-IX;FC Brigittenau;Siemens;Heinrich v. Buol-Gasse 3;1210;Wien;48.263364;16.423125;https://www.oefb.at/bewerbe/Spiel/3884720/?WBC-IX-vs-FC-Brigittenau
2025-08-29 18:00:00;ADMIRAL 2. Liga;Männer;5. Runde;First Vienna FC 1894;SC Austria Lustenau;Naturarena Hohe Warte;Klabundgasse;1190;Wien;48.247428;16.359464;https://www.oefb.at/bewerbe/Spiel/3885980/?First-Vienna-FC-1894-vs-SC-Austria-Lustenau
2025-08-29 18:30:00;Frauen Future League;Frauen;3. Runde;First Vienna FC 1894 U20;AKA Steiermark - Sturm Graz;First Vienna Football Campus;Spielmanng. 8;1200;Wien;48.242739;16.370454;https://www.oefb.at/oefb/Spiel/3877792/?First-Vienna-FC-1894-U20-vs-AKA-Steiermark-Sturm-Graz
2025-08-29 19:10:00;Regionalliga Ost;Männer;5. Runde;FavAC;Wiener Viktoria;FavAC;Kennerg. 3;1100;Wien;48.170987;16.382252;https://www.oefb.at/bewerbe/Spiel/3920514/?FavAC-vs-Wiener-Viktoria
2025-08-29 19:30:00;Regionalliga Ost;Männer;5. Runde;Wiener Sport-Club;FCM Traiskirchen;Trainingszentrum Wr. Sportklub;Erdbrustgasse 4-18;1160;Wien;48.215234;16.303975;https://www.oefb.at/bewerbe/Spiel/3920530/?Wiener-Sport-Club-vs-FCM-Traiskirchen
2025-08-29 20:00:00;1. Klasse B;Männer;1. Runde;WBC-IX;FC Brigittenau;Siemens;Heinrich v. Buol-Gasse 3;1210;Wien;48.263364;16.423125;https://www.oefb.at/bewerbe/Spiel/3884810/?WBC-IX-vs-FC-Brigittenau
2025-08-29 20:00:00;Oberliga A Reserve;Männer;1. Runde;Gradisce;Ober St.Veit;Gem.Wien 10, Eibesbrunnerg.;Eibesbrunnergasse 13;1100;Wien;48.16619991249413;16.336755752563477;https://www.oefb.at/bewerbe/Spiel/3882146/?Gradisce-vs-Ober-St-Veit
2025-08-29 20:01:00;DSG-Cup;Männer;1. Runde;Dsg Neulandschule;DSG Torpedo Wien;Ostbahn 11;Hasenleitengasse 49;1110;Wien;48.164581;16.419164;https://www.oefb.at/bewerbe/Spiel/3857844/?Dsg-Neulandschule-vs-DSG-Torpedo-Wien
2025-08-29 20:30:00;ADMIRAL Frauen Bundesliga - Grunddurchgang;Frauen;3. Runde;First Vienna FC 1894;SK Sturm Graz;Naturarena Hohe Warte;Klabundgasse;1190;Wien;48.247428;16.359464;https://www.oefb.at/oefb/Spiel/3877563/?First-Vienna-FC-1894-vs-SK-Sturm-Graz
2025-08-30 12:00:00;Oberliga B Reserve;Männer;1. Runde;Süssenbrunn;Royal Persia;Süssenbrunn;Pehamg. 6;1220;Wien;48.277874;16.491976;https://www.oefb.at/bewerbe/Spiel/3882564/?Suessenbrunn-vs-Royal-Persia
2025-08-30 12:00:00;1. Klasse A Reserve;Männer;1. Runde;Penzinger SV;Yellow Star;Kinkplatz - Austria 13;Kinkplatz;1140;Wien;48.199991;16.276404;https://www.oefb.at/bewerbe/Spiel/3884505/?Penzinger-SV-vs-Yellow-Star
2025-08-30 12:00:00;Wiener Frauen Landesliga;Frauen;1. Runde;FC Altera Porta;Wiener Viktoria;Staw-Platz / KSV-Platz;Rustenschacher Allee 3-5;1020;Wien;48.209699;16.399002;https://www.oefb.at/bewerbe/Spiel/3877925/?FC-Altera-Porta-vs-Wiener-Viktoria
2025-08-30 12:00:00;1. Klasse B;Männer;1. Runde;RB Jedlesee;Patron Wien;Columbia;Überfuhrstraße 2b;1210;Wien;48.269294;16.38053;https://www.oefb.at/bewerbe/Spiel/3884846/?RB-Jedlesee-vs-Patron-Wien
2025-08-30 13:30:00;DSG-Cup;Männer;1. Runde;DSG Kasnudl Athletic Club;DSG Rudell SKF;Red Star Auto;Kendlerstrasse 38;1160;Wien;48.20384;16.309532;https://www.oefb.at/bewerbe/Spiel/3857861/?DSG-Kasnudl-Athletic-Club-vs-DSG-Rudell-SKF
2025-08-30 13:30:00;2. Frauen Bundesliga;Frauen;2. Runde;USC Landhaus;Union LUV Graz;FAC-Platz;Hopfengasse 8;1210;Wien;48.269916;16.3925;https://www.oefb.at/oefb/Spiel/3877727/?USC-Landhaus-vs-Union-LUV-Graz
2025-08-30 14:00:00;1. Klasse B Reserve;Männer;1. Runde;RB Jedlesee;Patron Wien;Columbia;Überfuhrstraße 2b;1210;Wien;48.269294;16.38053;https://www.oefb.at/bewerbe/Spiel/3885012/?RB-Jedlesee-vs-Patron-Wien
2025-08-30 14:00:00;Frauen 1. Klasse;Frauen;1. Runde;Altera Porta 1b;FSC Favoriten;Staw-Platz / KSV-Platz;Rustenschacher Allee 3-5;1020;Wien;48.209699;16.399002;https://www.oefb.at/bewerbe/Spiel/3878193/?Altera-Porta-1b-vs-FSC-Favoriten
2025-08-30 14:00:00;1. Klasse A;Männer;1. Runde;Penzinger SV;Yellow Star;Kinkplatz - Austria 13;Kinkplatz;1140;Wien;48.199991;16.276404;https://www.oefb.at/bewerbe/Spiel/3884424/?Penzinger-SV-vs-Yellow-Star
2025-08-30 14:00:00;Oberliga B Reserve;Männer;1. Runde;Marswiese;KSC / FCB Donaustadt;Marswiese;Neuwaldegger Str. 57a;1170;Wien;48.240031;16.277565;https://www.oefb.at/bewerbe/Spiel/3882504/?Marswiese-vs-KSC-FCB-Donaustadt
2025-08-30 14:15:00;Oberliga B;Männer;1. Runde;Süssenbrunn;Royal Persia;Süssenbrunn;Pehamg. 6;1220;Wien;48.277874;16.491976;https://www.oefb.at/bewerbe/Spiel/3882404/?Suessenbrunn-vs-Royal-Persia
2025-08-30 14:30:00;ADMIRAL 2. Liga;Männer;5. Runde;SK Rapid II;SKN St. Pölten;Allianz Stadion;Gerhard Hanappi Platz 1;1140;Wien;48.197339;16.265628;https://www.oefb.at/bewerbe/Spiel/3886123/?SK-Rapid-II-vs-SKN-St-Poelten
2025-08-30 15:00:00;Oberliga A Reserve;Männer;1. Runde;Rennweger SV;Triester;Rennweg;Grasbergerg. 18;1030;Wien;48.183499;16.398671;https://www.oefb.at/bewerbe/Spiel/3881999/?Rennweger-SV-vs-Triester
2025-08-30 15:00:00;1. Klasse A Reserve;Männer;1. Runde;ASK Erlaa Torpedo 03;ESV Ottakring;ASK Erlaa;Meischlgasse 26;1230;Wien;48.141549296954906;16.3216495513916;https://www.oefb.at/bewerbe/Spiel/3884666/?ASK-Erlaa-Torpedo-03-vs-ESV-Ottakring
2025-08-30 15:30:00;Oberliga B Reserve;Männer;1. Runde;SC Großfeld;Hirschstetten;Großfeld;Julius Ficker Str.;1210;Wien;48.265404;16.443979;https://www.oefb.at/bewerbe/Spiel/3882362/?SC-Grossfeld-vs-Hirschstetten
2025-08-30 16:00:00;DSG-Cup;Männer;1. Runde;DSG Dynamo Deluxe;DSG Tudi Wien F.C.;Kinkplatz - Austria 13;Kinkplatz;1140;Wien;48.199991;16.276404;https://www.oefb.at/bewerbe/Spiel/3857842/?DSG-Dynamo-Deluxe-vs-DSG-Tudi-Wien-F-C-
2025-08-30 16:00:00;2. Landesliga;Männer;3. Runde;NAC;A11 - R.Oberlaa;NAC;Grinzinger Straße 111;1190;Wien;48.254256;16.360667;https://www.oefb.at/bewerbe/Spiel/3913134/?NAC-vs-A11-R-Oberlaa
2025-08-30 16:00:00;Wiener Stadtliga;Männer;3. Runde;SV Wienerberg 1921;1.Simmeringer SC;Wienerberg Arena;Computerstr. 3;1100;Wien;48.157919;16.3396;https://www.oefb.at/bewerbe/Spiel/3873390/?SV-Wienerberg-1921-vs-1-Simmeringer-SC
2025-08-30 16:00:00;1. Klasse B;Männer;1. Runde;Football ProSchool Vienna;Prater SV;ASKÖ XX;Hopsagasse 5;1200;Wien;48.247288;16.371731;https://www.oefb.at/bewerbe/Spiel/3884816/?Football-ProSchool-Vienna-vs-Prater-SV
2025-08-30 16:00:00;Wiener Stadtliga;Männer;3. Runde;SV Dinamo Helfort;Austria XIII Auhof Center;Helfort;Kendlerstr. 42;1160;Wien;48.205946;16.310258;https://www.oefb.at/bewerbe/Spiel/3873572/?SV-Dinamo-Helfort-vs-Austria-XIII-Auhof-Center
2025-08-30 16:00:00;Oberliga A;Männer;1. Runde;Kalksburg-Rodaun;FC Bhf. Favoriten;Kalksburg;Zangerlestraße;1230;Wien;48.136474;16.22808;https://www.oefb.at/bewerbe/Spiel/3882082/?Kalksburg-Rodaun-vs-FC-Bhf-Favoriten
2025-08-30 16:00:00;1. Klasse B;Männer;1. Runde;Real Wien;Wollers Komet;Essling;Kirschenallee 2-4;1220;Wien;48.214036;16.519334;https://www.oefb.at/bewerbe/Spiel/3884903/?Real-Wien-vs-Wollers-Komet
2025-08-30 16:00:00;"Frauen ""Newcomer"" Liga";Frauen;1. Runde;Altera Porta 1d;Mannswörth;Staw-Platz / KSV-Platz;Rustenschacher Allee 3-5;1020;Wien;48.209699;16.399002;https://www.oefb.at/bewerbe/Spiel/3885378/?Altera-Porta-1d-vs-Mannswoerth
2025-08-30 16:00:00;Wiener Frauen Landesliga;Frauen;1. Runde;SU Schönbrunn;First Vienna FC 1894 1c;Sportunion Schönbrunn;Hervicusg. 13-15;1120;Wien;48.166628;16.304792;https://www.oefb.at/bewerbe/Spiel/3877873/?SU-Schoenbrunn-vs-First-Vienna-FC-1894-1c
2025-08-30 16:15:00;2. Landesliga;Männer;3. Runde;Columbia Floridsdorf;Gersthofer SV;Columbia;Überfuhrstraße 2b;1210;Wien;48.269294;16.38053;https://www.oefb.at/bewerbe/Spiel/3913135/?Columbia-Floridsdorf-vs-Gersthofer-SV
2025-08-30 16:15:00;Oberliga B;Männer;1. Runde;Marswiese;KSC / FCB Donaustadt;Marswiese;Neuwaldegger Str. 57a;1170;Wien;48.240031;16.277565;https://www.oefb.at/bewerbe/Spiel/3882341/?Marswiese-vs-KSC-FCB-Donaustadt
2025-08-30 16:30:00;2. Landesliga;Männer;3. Runde;Post SV;Kapellerfeld;Post Sportanlage;Roggendorfg. 2;1170;Wien;48.223531;16.32412;https://www.oefb.at/bewerbe/Spiel/3913087/?Post-SV-vs-Kapellerfeld
2025-08-30 16:30:00;Oberliga A;Männer;1. Runde;Sportunion Mauer 1b;Wiener Sport-Club 1b;Union Mauer;Erhardg. 2;1230;Wien;48.155411;16.277243;https://www.oefb.at/bewerbe/Spiel/3882165/?Sportunion-Mauer-1b-vs-Wiener-Sport-Club-1b
2025-08-30 17:00:00;1. Klasse A;Männer;1. Runde;ASK Erlaa Torpedo 03;ESV Ottakring;ASK Erlaa;Meischlgasse 26;1230;Wien;48.141549296954906;16.3216495513916;https://www.oefb.at/bewerbe/Spiel/3884522/?ASK-Erlaa-Torpedo-03-vs-ESV-Ottakring
2025-08-30 17:00:00;2. Landesliga;Männer;3. Runde;ASV 13;Sportunion Schönbrunn;ASVÖ 13;Linienamtsg. 7;1130;Wien;48.163089;16.276184;https://www.oefb.at/bewerbe/Spiel/3913049/?ASV-13-vs-Sportunion-Schoenbrunn
2025-08-30 17:00:00;Oberliga A;Männer;1. Runde;Rennweger SV;Triester;Rennweg;Grasbergerg. 18;1030;Wien;48.183499;16.398671;https://www.oefb.at/bewerbe/Spiel/3882001/?Rennweger-SV-vs-Triester
2025-08-30 17:00:00;2. Landesliga;Männer;3. Runde;DSV Fortuna 05;SC Mannswörth;Fortuna 05;Krottenbachstr. 53;1190;Wien;48.240363;16.335761;https://www.oefb.at/bewerbe/Spiel/3912927/?DSV-Fortuna-05-vs-SC-Mannswoerth
2025-08-30 17:15:00;Oberliga A Reserve;Männer;1. Runde;Kurdroj;Inzersdorf;Polizei Sportanlage;Dampfschiffhaufen;1220;Wien;48.221112;16.430898;https://www.oefb.at/bewerbe/Spiel/3881973/?Kurdroj-vs-Inzersdorf
2025-08-30 17:30:00;Oberliga B;Männer;1. Runde;SC Großfeld;Hirschstetten;Großfeld;Julius Ficker Str.;1210;Wien;48.265404;16.443979;https://www.oefb.at/bewerbe/Spiel/3882456/?SC-Grossfeld-vs-Hirschstetten
2025-08-30 17:30:00;2. Landesliga;Männer;3. Runde;Ankerbrot;Cro-Vienna;Franz Hölbl Anlage / Anker Arena;Heuberggstättenstr. 1;1100;Wien;48.159325;16.367574;https://www.oefb.at/bewerbe/Spiel/3913215/?Ankerbrot-vs-Cro-Vienna
2025-08-30 18:00:00;1. Klasse A;Männer;1. Runde;Vienna 2016;Penarol Wien;FavAC;Kennerg. 3;1100;Wien;48.170987;16.382252;https://www.oefb.at/bewerbe/Spiel/3884386/?Vienna-2016-vs-Penarol-Wien
2025-08-30 18:00:00;1. Klasse A Reserve;Männer;1. Runde;FC Eintracht Wien;Polska;Stadlau;Erzherzog Karl Str. 108;1220;Wien;48.230244;16.450798;https://www.oefb.at/bewerbe/Spiel/3884518/?FC-Eintracht-Wien-vs-Polska
2025-08-30 18:00:00;Oberliga A Reserve;Männer;1. Runde;Kalksburg-Rodaun;FC Bhf. Favoriten;Kalksburg;Zangerlestraße;1230;Wien;48.136474;16.22808;https://www.oefb.at/bewerbe/Spiel/3882201/?Kalksburg-Rodaun-vs-FC-Bhf-Favoriten
