href,source_url,first_seen_utc
https://www.oefb.at/bewerbe/Spiel/4037056/?SK-Rapid-vs-FK-Austria-Wien,https://wfv.at/wfv/Bewerb/231372?ADMIRAL-Bundesliga-Meistergruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037052/?TSV-Egger-Glas-Hartberg-vs-SK-Puntigamer-Sturm-Graz,https://wfv.at/wfv/Bewerb/231372?ADMIRAL-Bundesliga-Meistergruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037085/?FC-Blau-Weiss-Linz-vs-Grazer-AK-1902,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037093/?RZ-Pellets-WAC-vs-WSG-Tirol,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037083/?SCR-Altach-vs-SV-Oberbank-Ried,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037096/?Grazer-AK-1902-vs-RZ-Pellets-WAC,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037084/?SCR-Altach-vs-FC-Blau-Weiss-Linz,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037071/?SV-Oberbank-Ried-vs-WSG-Tirol,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037070/?FC-Blau-Weiss-Linz-vs-SV-Oberbank-Ried,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037069/?RZ-Pellets-WAC-vs-SCR-Altach,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037072/?WSG-Tirol-vs-Grazer-AK-1902,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037095/?Grazer-AK-1902-vs-FC-Blau-Weiss-Linz,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037078/?WSG-Tirol-vs-RZ-Pellets-WAC,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037073/?SV-Oberbank-Ried-vs-SCR-Altach,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037079/?FC-Blau-Weiss-Linz-vs-WSG-Tirol,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037091/?RZ-Pellets-WAC-vs-SV-Oberbank-Ried,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037088/?SCR-Altach-vs-Grazer-AK-1902,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037094/?RZ-Pellets-WAC-vs-FC-Blau-Weiss-Linz,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037082/?WSG-Tirol-vs-SCR-Altach,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037080/?Grazer-AK-1902-vs-SV-Oberbank-Ried,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037074/?SV-Oberbank-Ried-vs-Grazer-AK-1902,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037081/?FC-Blau-Weiss-Linz-vs-RZ-Pellets-WAC,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037092/?SCR-Altach-vs-WSG-Tirol,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037089/?RZ-Pellets-WAC-vs-Grazer-AK-1902,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037090/?WSG-Tirol-vs-SV-Oberbank-Ried,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037076/?FC-Blau-Weiss-Linz-vs-SCR-Altach,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037086/?SCR-Altach-vs-RZ-Pellets-WAC,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037097/?Grazer-AK-1902-vs-WSG-Tirol,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037087/?SV-Oberbank-Ried-vs-FC-Blau-Weiss-Linz,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037077/?Grazer-AK-1902-vs-SCR-Altach,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037075/?SV-Oberbank-Ried-vs-RZ-Pellets-WAC,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/4037068/?WSG-Tirol-vs-FC-Blau-Weiss-Linz,https://wfv.at/wfv/Bewerb/231373?ADMIRAL-Bundesliga-Qualifikationsgruppe,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/3865904/?LASK-vs-RZ-Pellets-WAC,https://wfv.at/wfv/Bewerb/227113?ADMIRAL-Bundesliga-Grunddurchgang,2026-05-26T17:22:05Z
https://www.oefb.at/bewerbe/Spiel/3865891/?SK-Puntigamer-Sturm-Graz-vs-SCR-Altach,https://wfv.at/wfv/Bewerb/227113?ADMIRAL-Bundesliga-Grunddurchgang,2026-05-26T17:22:05Z
