Datum;Liga;Typ;Runde;Heim;Gast;Heim_Link;Gast_Link;Spielort_Name;Adresse;Latitude;Longitude;Quelle;link;error
2025-09-05 20:15:00;DSG Oberliga B;Mann;1. Runde;DSG Dornbach Sox;DSG Billroth Fc;https://vereine.oefb.at/DsgDornbachSox/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/FCBillroth/Mannschaften/Saison-2025-26/KM/Kader/;Slovan HAC;Steinbruchstr. 5a, 1140 Wien;48.204405;16.305012;https://www.oefb.at/bewerbe/Spiel/3871637/?DSG-Dornbach-Sox-vs-DSG-Billroth-Fc;https://www.oefb.at/bewerbe/Spiel/3871637/?DSG-Dornbach-Sox-vs-DSG-Billroth-Fc;
2025-09-07 10:00:00;DSG Oberliga B;Mann;1. Runde;Dsg Hetzendorf;DSG Lokomotive Döbling;https://vereine.oefb.at/DsgHetzendorf/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgLokomotiveDoebling/Mannschaften/Saison-2025-26/KM/Kader/;Sportunion Schönbrunn;Hervicusg. 13-15, 1120 Wien;48.166628;16.304792;https://www.oefb.at/bewerbe/Spiel/3871561/?Dsg-Hetzendorf-vs-DSG-Lokomotive-Doebling;https://www.oefb.at/bewerbe/Spiel/3871561/?Dsg-Hetzendorf-vs-DSG-Lokomotive-Doebling;
2025-09-06 17:15:00;DSG Oberliga B;Mann;1. Runde;DSG Eventus Wien;Dsg O.St.Veit.Bierstube;https://vereine.oefb.at/DsgEventusWien/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/OberSanktVeiterBierstube/Mannschaften/Saison-2025-26/KM/Kader/;Fortuna 05;Krottenbachstr. 53, 1190 Wien;48.240363;16.335761;https://www.oefb.at/bewerbe/Spiel/3871625/?DSG-Eventus-Wien-vs-Dsg-O-St-Veit-Bierstube;https://www.oefb.at/bewerbe/Spiel/3871625/?DSG-Eventus-Wien-vs-Dsg-O-St-Veit-Bierstube;
2025-09-06 18:45:00;DSG Oberliga B;Mann;1. Runde;DSG Salzachsturm;Dsg Celtic Salmannsd.;https://vereine.oefb.at/FcSalzachsturm/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgCelticSalmannsd/Mannschaften/Saison-2025-26/KM/Kader/;Slovan HAC;Steinbruchstr. 5a, 1140 Wien;48.204405;16.305012;https://www.oefb.at/bewerbe/Spiel/3871638/?DSG-Salzachsturm-vs-Dsg-Celtic-Salmannsd-;https://www.oefb.at/bewerbe/Spiel/3871638/?DSG-Salzachsturm-vs-Dsg-Celtic-Salmannsd-;
2025-09-07 20:00:00;DSG Oberliga B;Mann;1. Runde;DSG Going Toulouse;DSG Royal Vienna;https://vereine.oefb.at/Dsgfcgoingtoulouse/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgRoyalVienna/Mannschaften/Saison-2025-26/KM/Kader/;Helfort;Kendlerstr. 42, 1160 Wien, Koppstrasse - Paltaufgasse- Kendlerstrasse Öffentliche Parkplätze nur wenige vorhanden! In der Helfort15 Arena besteht keine Parkmöglichkeit!;48.205946;16.310258;https://www.oefb.at/bewerbe/Spiel/3871576/?DSG-Going-Toulouse-vs-DSG-Royal-Vienna;https://www.oefb.at/bewerbe/Spiel/3871576/?DSG-Going-Toulouse-vs-DSG-Royal-Vienna;
2025-09-13 18:00:00;DSG Oberliga B;Mann;2. Runde;Dsg Celtic Salmannsd.;DSG Dornbach Sox;https://vereine.oefb.at/DsgCelticSalmannsd/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgDornbachSox/Mannschaften/Saison-2025-26/KM/Kader/;First Vienna Football Campus;Spielmanng. 8, 1200 Wien;48.242739;16.370454;https://www.oefb.at/bewerbe/Spiel/3871651/?Dsg-Celtic-Salmannsd-vs-DSG-Dornbach-Sox;https://www.oefb.at/bewerbe/Spiel/3871651/?Dsg-Celtic-Salmannsd-vs-DSG-Dornbach-Sox;
2025-09-13 17:45:00;DSG Oberliga B;Mann;2. Runde;DSG Ukraina Wien SKV;DSG Lokomotive Döbling;https://vereine.oefb.at/DsgSkvUkrainaWien/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgLokomotiveDoebling/Mannschaften/Saison-2025-26/KM/Kader/;ASK Erlaa;Meischlgasse 26, 1230 Wien;48.141549296954906;16.3216495513916;https://www.oefb.at/bewerbe/Spiel/3871635/?DSG-Ukraina-Wien-SKV-vs-DSG-Lokomotive-Doebling;https://www.oefb.at/bewerbe/Spiel/3871635/?DSG-Ukraina-Wien-SKV-vs-DSG-Lokomotive-Doebling;
2025-09-14 20:15:00;DSG Oberliga B;Mann;2. Runde;DSG Billroth Fc;Dsg Hetzendorf;https://vereine.oefb.at/FCBillroth/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgHetzendorf/Mannschaften/Saison-2025-26/KM/Kader/;Fortuna 05;Krottenbachstr. 53, 1190 Wien;48.240363;16.335761;https://www.oefb.at/bewerbe/Spiel/3871573/?DSG-Billroth-Fc-vs-Dsg-Hetzendorf;https://www.oefb.at/bewerbe/Spiel/3871573/?DSG-Billroth-Fc-vs-Dsg-Hetzendorf;
2025-09-14 18:00:00;DSG Oberliga B;Mann;2. Runde;Dsg O.St.Veit.Bierstube;DSG Going Toulouse;https://vereine.oefb.at/OberSanktVeiterBierstube/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/Dsgfcgoingtoulouse/Mannschaften/Saison-2025-26/KM/Kader/;Staw-Platz / KSV-Platz;Rustenschacher Allee 3-5, 1020 Wien;48.209699;16.399002;https://www.oefb.at/bewerbe/Spiel/3871611/?Dsg-O-St-Veit-Bierstube-vs-DSG-Going-Toulouse;https://www.oefb.at/bewerbe/Spiel/3871611/?Dsg-O-St-Veit-Bierstube-vs-DSG-Going-Toulouse;
2025-09-14 10:30:00;DSG Oberliga B;Mann;2. Runde;DSG Inter Leopoldau;DSG Eventus Wien;https://vereine.oefb.at/DSG-InterLeopoldau/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgEventusWien/Mannschaften/Saison-2025-26/KM/Kader/;Donaustadt - Gemeinde Wien 22;Am Langen Felde 60, 1220 Wien;48.250398;16.449018;https://www.oefb.at/bewerbe/Spiel/3871560/?DSG-Inter-Leopoldau-vs-DSG-Eventus-Wien;https://www.oefb.at/bewerbe/Spiel/3871560/?DSG-Inter-Leopoldau-vs-DSG-Eventus-Wien;
2025-09-14 17:00:00;DSG Oberliga B;Mann;2. Runde;DSG Royal Vienna;DSG Salzachsturm;https://vereine.oefb.at/DsgRoyalVienna/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/FcSalzachsturm/Mannschaften/Saison-2025-26/KM/Kader/;LAC;Baumg. 87, 1030 Wien;48.19099;16.408953;https://www.oefb.at/bewerbe/Spiel/3871609/?DSG-Royal-Vienna-vs-DSG-Salzachsturm;https://www.oefb.at/bewerbe/Spiel/3871609/?DSG-Royal-Vienna-vs-DSG-Salzachsturm;
2025-09-19 20:15:00;DSG Oberliga B;Mann;3. Runde;DSG Dornbach Sox;DSG Royal Vienna;https://vereine.oefb.at/DsgDornbachSox/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgRoyalVienna/Mannschaften/Saison-2025-26/KM/Kader/;Slovan HAC;Steinbruchstr. 5a, 1140 Wien;48.204405;16.305012;https://www.oefb.at/bewerbe/Spiel/3871631/?DSG-Dornbach-Sox-vs-DSG-Royal-Vienna;https://www.oefb.at/bewerbe/Spiel/3871631/?DSG-Dornbach-Sox-vs-DSG-Royal-Vienna;
2025-09-20 15:30:00;DSG Oberliga B;Mann;3. Runde;DSG Lokomotive Döbling;DSG Billroth Fc;https://vereine.oefb.at/DsgLokomotiveDoebling/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/FCBillroth/Mannschaften/Saison-2025-26/KM/Kader/;Fortuna 05;Krottenbachstr. 53, 1190 Wien;48.240363;16.335761;https://www.oefb.at/bewerbe/Spiel/3871634/?DSG-Lokomotive-Doebling-vs-DSG-Billroth-Fc;https://www.oefb.at/bewerbe/Spiel/3871634/?DSG-Lokomotive-Doebling-vs-DSG-Billroth-Fc;
2025-09-20 17:45:00;DSG Oberliga B;Mann;3. Runde;DSG Eventus Wien;DSG Ukraina Wien SKV;https://vereine.oefb.at/DsgEventusWien/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgSkvUkrainaWien/Mannschaften/Saison-2025-26/KM/Kader/;Fortuna 05;Krottenbachstr. 53, 1190 Wien;48.240363;16.335761;https://www.oefb.at/bewerbe/Spiel/3871552/?DSG-Eventus-Wien-vs-DSG-Ukraina-Wien-SKV;https://www.oefb.at/bewerbe/Spiel/3871552/?DSG-Eventus-Wien-vs-DSG-Ukraina-Wien-SKV;
2025-09-21 16:00:00;DSG Oberliga B;Mann;3. Runde;DSG Salzachsturm;Dsg O.St.Veit.Bierstube;https://vereine.oefb.at/FcSalzachsturm/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/OberSanktVeiterBierstube/Mannschaften/Saison-2025-26/KM/Kader/;Slovan HAC;Steinbruchstr. 5a, 1140 Wien;48.204405;16.305012;https://www.oefb.at/bewerbe/Spiel/3871614/?DSG-Salzachsturm-vs-Dsg-O-St-Veit-Bierstube;https://www.oefb.at/bewerbe/Spiel/3871614/?DSG-Salzachsturm-vs-Dsg-O-St-Veit-Bierstube;
2025-09-21 10:00:00;DSG Oberliga B;Mann;3. Runde;Dsg Hetzendorf;Dsg Celtic Salmannsd.;https://vereine.oefb.at/DsgHetzendorf/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgCelticSalmannsd/Mannschaften/Saison-2025-26/KM/Kader/;Sportunion Schönbrunn;Hervicusg. 13-15, 1120 Wien;48.166628;16.304792;https://www.oefb.at/bewerbe/Spiel/3871603/?Dsg-Hetzendorf-vs-Dsg-Celtic-Salmannsd-;https://www.oefb.at/bewerbe/Spiel/3871603/?Dsg-Hetzendorf-vs-Dsg-Celtic-Salmannsd-;
2025-09-21 18:00:00;DSG Oberliga B;Mann;3. Runde;DSG Going Toulouse;DSG Inter Leopoldau;https://vereine.oefb.at/Dsgfcgoingtoulouse/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DSG-InterLeopoldau/Mannschaften/Saison-2025-26/KM/Kader/;Helfort;Kendlerstr. 42, 1160 Wien, Koppstrasse - Paltaufgasse- Kendlerstrasse Öffentliche Parkplätze nur wenige vorhanden! In der Helfort15 Arena besteht keine Parkmöglichkeit!;48.205946;16.310258;https://www.oefb.at/bewerbe/Spiel/3871604/?DSG-Going-Toulouse-vs-DSG-Inter-Leopoldau;https://www.oefb.at/bewerbe/Spiel/3871604/?DSG-Going-Toulouse-vs-DSG-Inter-Leopoldau;
2025-09-27 14:00:00;DSG Oberliga B;Mann;4. Runde;DSG Royal Vienna;Dsg Hetzendorf;https://vereine.oefb.at/DsgRoyalVienna/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgHetzendorf/Mannschaften/Saison-2025-26/KM/Kader/;LAC;Baumg. 87, 1030 Wien;48.19099;16.408953;https://www.oefb.at/bewerbe/Spiel/3871556/?DSG-Royal-Vienna-vs-Dsg-Hetzendorf;https://www.oefb.at/bewerbe/Spiel/3871556/?DSG-Royal-Vienna-vs-Dsg-Hetzendorf;
2025-09-27 17:30:00;DSG Oberliga B;Mann;4. Runde;DSG Ukraina Wien SKV;DSG Billroth Fc;https://vereine.oefb.at/DsgSkvUkrainaWien/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/FCBillroth/Mannschaften/Saison-2025-26/KM/Kader/;ASK Erlaa;Meischlgasse 26, 1230 Wien;48.141549296954906;16.3216495513916;https://www.oefb.at/bewerbe/Spiel/3871619/?DSG-Ukraina-Wien-SKV-vs-DSG-Billroth-Fc;https://www.oefb.at/bewerbe/Spiel/3871619/?DSG-Ukraina-Wien-SKV-vs-DSG-Billroth-Fc;
2025-09-27 16:00:00;DSG Oberliga B;Mann;4. Runde;Dsg O.St.Veit.Bierstube;DSG Dornbach Sox;https://vereine.oefb.at/OberSanktVeiterBierstube/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DsgDornbachSox/Mannschaften/Saison-2025-26/KM/Kader/;Staw-Platz / KSV-Platz;Rustenschacher Allee 3-5, 1020 Wien;48.209699;16.399002;https://www.oefb.at/bewerbe/Spiel/3871563/?Dsg-O-St-Veit-Bierstube-vs-DSG-Dornbach-Sox;https://www.oefb.at/bewerbe/Spiel/3871563/?Dsg-O-St-Veit-Bierstube-vs-DSG-Dornbach-Sox;
