Datum;Liga;Typ;Runde;Heim;Gast;Heim_Link;Gast_Link;Spielort_Name;Adresse;Latitude;Longitude;Quelle;link
2026-04-24 20:00:00;2. Landesliga U23;Mann;23. Runde;Mannswörth;Gersthofer SV;https://vereine.oefb.at/scmannswoerth/Mannschaften/Saison-2025-26/Res/Kader/;https://vereine.oefb.at/GersthoferSportvereinigung/Mannschaften/Saison-2025-26/Res/Kader/;Mannswörth;Jägerhausg. 5, 2320 Mannswörth;48.146011;16.523132;https://www.oefb.at/bewerbe/Spiel/3912896/?Mannswoerth-vs-Gersthofer-SV;https://www.oefb.at/bewerbe/Spiel/3912896/?Mannswoerth-vs-Gersthofer-SV
2025-10-03 16:00:00;A-LIGA U8 1A;Mann;6. Runde;Hellas Kagran;SR Donaufeld A;https://vereine.oefb.at/FcHellasKagran/Mannschaften/Saison-2025-26/U08/Kader/;https://vereine.oefb.at/SR-Donaufeld/Mannschaften/Saison-2025-26/U08-A/Kader/;Hellas Kagran Sport-Arena;Natorpgasse 2, 1220 Wien;48.241765;16.444089;https://www.oefb.at/bewerbe/Spiel/3906665/?Hellas-Kagran-vs-SR-Donaufeld-A;https://www.oefb.at/bewerbe/Spiel/3906665/?Hellas-Kagran-vs-SR-Donaufeld-A
2025-10-04 09:00:00;A-LIGA U7/1A HERBST 2025;Mann;6. Runde;Essling A;1.Simmeringer SC A;https://vereine.oefb.at/SvEssling/Mannschaften/Saison-2025-26/U07-A/Kader/;https://vereine.oefb.at/1SimmeringerSportclub/Mannschaften/Saison-2025-26/U07-A/Kader/;Essling;Kirschenallee 2-4, 1220 Wien;48.214036;16.519334;https://www.oefb.at/bewerbe/Spiel/3907207/?Essling-A-vs-1-Simmeringer-SC-A;https://www.oefb.at/bewerbe/Spiel/3907207/?Essling-A-vs-1-Simmeringer-SC-A
2026-05-29 20:15:00;DSG Frauen/Mädchen;Frau;15. Runde;DSG Paulaner Wieden 1c;DSG Nero Diavolo;https://vereine.oefb.at/1FussballclubPaulanerWieden/Mannschaften/Saison-2025-26/KM-1c-FR/Kader/;https://vereine.oefb.at/DsgFcNeroDiavolo/Mannschaften/Saison-2025-26/KM-FR/Kader/;Marswiese;Neuwaldegger Str. 57a, 1170 Wien;48.240031;16.277565;https://www.oefb.at/bewerbe/Spiel/3873328/?DSG-Paulaner-Wieden-1c-vs-DSG-Nero-Diavolo;https://www.oefb.at/bewerbe/Spiel/3873328/?DSG-Paulaner-Wieden-1c-vs-DSG-Nero-Diavolo
2026-03-14 17:30:00;A-LIGA U17;Mann;12. Runde;Gersthofer SV;Cro - Vienna;https://vereine.oefb.at/GersthoferSportvereinigung/Mannschaften/Saison-2025-26/U17/Kader/;https://vereine.oefb.at/SkCro-Vienna/Mannschaften/Saison-2025-26/U17/Kader/;;;;;https://www.oefb.at/bewerbe/Spiel/3883192/?Gersthofer-SV-vs-Cro-Vienna;https://www.oefb.at/bewerbe/Spiel/3883192/?Gersthofer-SV-vs-Cro-Vienna
2025-11-23 16:00:00;1. ÖFB Futsal Liga - Grunddurchgang;Mann;7. Runde;1. FSV Wels;Steir. Futsal Club Podrinje Graz;https://vereine.oefb.at#;https://vereine.oefb.at/FKPodrinjeGraz/Mannschaften/Saison-2025-26/KM/Kader/;Wels - Sporthalle Pernau;Handel Mazettistrasse 5, 4600 Wels;48.17117;14.049655;https://www.oefb.at/bewerbe/Spiel/3962489/?1-FSV-Wels-vs-Steir-Futsal-Club-Podrinje-Graz;https://www.oefb.at/bewerbe/Spiel/3962489/?1-FSV-Wels-vs-Steir-Futsal-Club-Podrinje-Graz
2026-06-06 14:45:00;B-LIGA U13;Mann;22. Runde;1980 Wien;Slovan HAC;https://vereine.oefb.at/Fc1980Wien/Mannschaften/Saison-2025-26/U13/Kader/;https://vereine.oefb.at/SkSlovanHacSanRaphael/Mannschaften/Saison-2025-26/U13/Kader/;Franz Koci Anlage;Franz Koci-Straße 1, 1100 Wien;48.144813;16.395031;https://www.oefb.at/bewerbe/Spiel/3892492/?1980-Wien-vs-Slovan-HAC;https://www.oefb.at/bewerbe/Spiel/3892492/?1980-Wien-vs-Slovan-HAC
2025-10-03 20:00:00;DSG LIGA;Mann;5. Runde;Dsg AFC Hietzing;DSG Semper Victoria;https://vereine.oefb.at/DsgAfcHietzing/Mannschaften/Saison-2025-26/KM/Kader/;https://vereine.oefb.at/DSGSemperVictoria/Mannschaften/Saison-2025-26/KM/Kader/;Helfort;Kendlerstr. 42, 1160 Wien, Koppstrasse - Paltaufgasse- Kendlerstrasse, Öffentliche Parkplätze nur wenige vorhanden!, In der Helfort15 Arena besteht keine Parkmöglichkeit!;48.205946;16.310258;https://www.oefb.at/bewerbe/Spiel/3871324/?Dsg-AFC-Hietzing-vs-DSG-Semper-Victoria;https://www.oefb.at/bewerbe/Spiel/3871324/?Dsg-AFC-Hietzing-vs-DSG-Semper-Victoria
2026-04-24 18:00:00;2. Landesliga U23;Mann;23. Runde;ASV 13;A11 - R.Oberlaa;https://vereine.oefb.at/ASV13/Mannschaften/Saison-2025-26/Res/Kader/;https://vereine.oefb.at/Fca11ROberlaa/Mannschaften/Saison-2025-26/Res/Kader/;ASVÖ 13;Linienamtsg. 7, 1130 Wien;48.163089;16.276184;https://www.oefb.at/bewerbe/Spiel/3913192/?ASV-13-vs-A11-R-Oberlaa;https://www.oefb.at/bewerbe/Spiel/3913192/?ASV-13-vs-A11-R-Oberlaa
2026-04-24 18:00:00;2. Landesliga U23;Mann;23. Runde;DSV Fortuna 05;Cro - Vienna;https://vereine.oefb.at/PHHFortuna05/Mannschaften/Saison-2025-26/Res/Kader/;https://vereine.oefb.at/SkCro-Vienna/Mannschaften/Saison-2025-26/Res/Kader/;Fortuna 05;Krottenbachstr. 53, 1190 Wien;48.240363;16.335761;https://www.oefb.at/bewerbe/Spiel/3912843/?DSV-Fortuna-05-vs-Cro-Vienna;https://www.oefb.at/bewerbe/Spiel/3912843/?DSV-Fortuna-05-vs-Cro-Vienna
